index
300
303	293	8
332	338	11
195	297	12
174	302	12
163	312	12
153	335	13
185	336	14
167	339	14
322	312	15
337	334	15
356	349	16
170	336	17
209	277	18
305	312	19
151	358	19
197	268	20
337	277	21
199	301	21
211	322	21
199	265	21
140	338	22
123	293	22
318	306	22
349	303	23
155	302	23
212	284	24
152	301	24
385	318	24
359	352	25
173	325	26
304	303	26
389	290	27
321	349	27
127	263	27
129	366	28
417	293	28
339	343	28
358	330	29
150	358	29
210	286	29
152	250	30
113	330	30
388	266	30
348	366	30
306	347	30
374	322	31
136	310	31
162	366	31
115	261	32
365	365	33
379	248	33
323	245	33
364	302	33
97	282	33
168	242	34
385	242	34
116	344	35
114	269	35
91	329	36
365	257	37
415	290	37
332	352	37
190	209	37
175	337	37
93	251	37
289	207	38
390	237	38
420	272	39
81	296	39
193	251	39
189	361	39
231	197	39
189	198	40
209	325	40
365	233	40
386	270	40
400	324	41
185	338	41
106	279	41
124	239	42
172	228	42
135	316	42
203	183	42
369	282	42
323	346	42
152	188	43
210	323	43
143	355	44
134	268	44
167	201	44
395	340	44
168	207	45
113	353	45
160	186	46
316	220	46
203	341	47
144	379	48
188	365	48
112	253	48
361	324	48
308	191	49
201	329	49
175	378	49
119	261	49
106	340	49
253	174	49
138	181	49
110	307	50
137	248	50
337	355	50
424	293	51
73	277	51
159	190	51
237	167	51
151	363	52
138	262	52
254	176	52
318	361	52
335	362	52
385	371	53
311	353	53
413	316	53
136	207	53
101	218	53
410	334	54
334	354	54
396	246	54
430	282	54
337	334	55
357	368	55
312	333	55
168	354	55
79	293	55
115	230	55
246	173	55
106	195	56
220	193	56
69	308	56
124	338	56
345	350	56
413	300	56
280	153	56
321	363	57
401	222	57
203	192	57
135	213	57
119	372	57
183	330	57
156	336	58
124	281	58
101	195	58
196	155	58
420	309	58
416	244	58
399	206	59
372	203	59
92	353	59
101	373	59
82	278	59
105	240	59
148	248	59
136	164	59
215	315	60
128	300	60
426	263	60
403	184	60
420	206	60
379	220	61
235	158	61
134	295	62
347	384	62
345	165	62
414	258	63
373	301	63
404	352	63
192	354	63
124	181	63
216	310	64
167	267	64
376	360	64
398	355	64
396	188	65
330	352	65
162	313	65
228	137	66
131	208	66
349	341	66
419	264	66
372	160	66
315	343	67
194	361	67
135	398	67
95	266	67
144	369	68
190	340	68
136	282	68
386	355	68
425	213	69
389	310	69
405	361	69
130	378	69
168	237	69
140	231	69
228	132	69
129	163	70
78	266	70
118	243	70
82	295	70
208	330	70
350	371	70
443	282	71
136	246	71
188	377	71
94	207	72
422	341	72
402	243	73
111	220	74
154	355	74
344	382	74
404	268	74
436	306	75
184	373	75
201	339	75
76	316	75
123	281	75
109	297	76
109	231	76
396	317	76
401	290	76
438	294	76
381	353	76
385	264	76
442	251	77
417	304	77
161	362	77
113	373	77
134	385	77
170	334	77
113	148	77
142	184	78
103	164	78
91	223	78
77	275	78
63	275	78
172	345	78
398	283	78
389	296	79
173	393	79
165	280	79
86	193	79
96	190	80
433	235	80
127	313	81
100	201	82
106	376	82
150	389	82
384	359	82
403	287	82
365	357	83
96	198	83
126	235	84
196	280	84
426	231	85
134	263	85
91	233	86
76	281	86
423	331	86
337	327	86
177	387	87
123	298	87
109	209	87
117	241	88
131	352	88
377	318	89
443	273	89
75	318	90
66	214	90
380	335	90
429	208	91
446	283	91
142	342	91
115	228	91
124	160	91
104	313	92
200	347	92
177	365	92
442	247	92
330	368	93
424	292	93
445	241	93
63	308	93
343	363	94
421	166	94
423	317	95
112	364	96
113	162	96
310	326	97
447	265	97
66	335	97
130	148	98
